PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Kitchen,"It met all of our expectations.  We have a large kitchen with lots of space and it is very easy to set up.  The only thing I didn't like was the lack of instructions on how to assemble, but we were able to figure things out by hand without any issues.",GUIDED
Baby,"Meets her expectations.  She is 5'2&#34; and weighs 135 lbs.  I am 6'1&#34; and weigh 145 lbs.  My husband says she likes the look of this shirt. I bought it to wear as a Christmas present for my 7 year old daughter.  It was very cute, but not too girly.  The sleeves were just too big (about 3 1/2 inches) so they didn't hold up well at all.  However, there are plenty of pockets on the front that would have held up without them being too large.",NON-GUIDED
Beauty,Often compliments the color of your skin.,NON-GUIDED
Outdoors,Beautiful.  I ordered this for my husband and he loves it! It is a very nice piece of furniture that will last him many years to come.,NON-GUIDED
Pet Products,"This only arrived yesterday, so I had to return it.  It was a bit more expensive than what you would get at the local Wal-Mart. I am very happy with this product and will continue to use it for many years to come.",GUIDED
Shoes,these do not have the look of a womens size but they are very comfortable.,GUIDED
Luggage,Very stylish with lots of room to spare.,GUIDED
Books,Had a great time with this book.  I would highly recommend it to anyone who is interested in learning more about the world of science and spirituality.,NON-GUIDED
Electronics,I recently purchased a few of these for my wife and she absolutely loves them.,GUIDED
Video DVD,Wow.. incredible!  I have been watching this movie for a couple of years now and it is one of my favorite movies ever. I was so excited to see the Blu-ray player on sale.,GUIDED
Home,Nice little chain but I'm not sure if it's worth the money.  The chain is a bit long and you have to be careful when cutting.,NON-GUIDED
Shoes,"Sometimes I get compliments on the size of my shoes, but this one is just what I needed.  It's a bit large and not too big to wear at all.  The only thing that bothered me was how long it would last (about 5-10 days).  So much so that I decided to give it a try.  When I got home from work about an hour ago, there were no words to describe how long it would last. It has held up quite well since being put together.  There are plenty of pockets for extra stuff like socks, t-shirts, or whatever else you'd want in your life.  We'll see how long it lasts over the next few months as we figure out how durable it will be.  Also, if you're looking for a good pair of flip flops, these might be the right size for you! Overall, very pleased with this purchase.",NON-GUIDED
Tools,"Sometimes I don't have time to use these.  They are a little heavy, but they do work for me. I bought two of them in the mail and both worked great! The only thing that bothered me was how long it took to unzip the file from my computer.  It took about 2-3 hours to unzip the entire file (which is exactly what I needed).  The instructions were easy to follow: 1. Unzip the folder you just copied/paste into your computer.  Then make sure there is an icon on the top left or right side where you want to place the files.  This will be handy if you need to store multiple copies after each transfer.  You can also simply put all the folders under the same folder as before with no problems. 2.",NON-GUIDED
Watches,I got this as a gift for my husband and he loves it.,GUIDED
Outdoors,"great little product, way better than I thought it would be.  My only complaint is that there are a couple of small holes in the back of the box to make sure they aren't blown out when opening. So far this one has held up well and looks great.",GUIDED
Pet Products,I bought this for my 7 year old son.  He loves it and will be ordering more in the future.,GUIDED
Camera,Nice quality and easy to use.  I have had it for a couple of months now and am very happy with the purchase.,NON-GUIDED
Home Improvement,I was very impressed with this product.  It is easy to use and has a lot of uses.,GUIDED
